# Time Placeoccupvoi Placeoccupvelo
16.33.50 50.176946410515676 24.49255751014885
16.43.52 50.11796427367712 24.49255751014885
16.53.54 49.83147960903269 24.49255751014885
17.03.56 49.83990562858106 24.49255751014885
17.13.58 49.24165824064712 24.49255751014885
17.24.00 49.005729693292885 24.49255751014885
17.34.02 48.5170205594877 24.49255751014885
17.44.04 48.18840579710145 24.49255751014885
17.54.05 47.564880350522415 24.49255751014885
18.04.07 46.97505898213684 24.49255751014885
18.14.09 46.83181664981463 24.49255751014885
18.24.13 46.326255476912706 24.49255751014885
18.34.15 46.01449275362319 24.49255751014885
18.44.22 46.01449275362319 24.49255751014885
18.54.25 45.567913717559826 24.49255751014885
19.04.26 45.12976070104482 24.49255751014885
19.14.29 45.19716885743175 24.49255751014885
19.24.31 44.86012807549714 24.49255751014885
19.34.32 45.04550050556117 24.49255751014885
19.44.34 45.13818672059319 24.49255751014885
19.54.36 45.66059993259184 24.49255751014885
20.04.37 46.09875294910684 24.49255751014885
20.14.39 46.638018200202225 24.49255751014885
20.24.41 46.97505898213684 24.49255751014885
20.34.42 46.89922480620155 24.49255751014885
20.44.44 47.455342096393665 24.49255751014885
20.54.44 47.539602291877316 24.49255751014885
21.04.46 47.84293899561847 24.49255751014885
21.14.47 47.94405123019885 24.49255751014885
21.24.49 48.12099764071453 24.49255751014885
